filename,origin,combined_rank,new_index,new_batch_500
DB1-Cu2O8-fum_A-irmof6_A_No7_repeat,original,4532,,
DB0-m2_o6_o25_f0_pcu.sym.107_repeat,original,1739,,
DB0-m2_o58_o7_jea_repeat,new,1655,883.0,2.0
DB0-m3_o155_o500_f0_fsc.sym.47_repeat,new,2651,1369.0,3.0
DB0-m1_o8_o8_f0_pcu_repeat,original,64,,
DB0-m2_o6_o9_f0_pcu.sym.38_repeat,new,1761,942.0,2.0
DB0-m3_o155_o52_f0_fsc.sym.3_repeat,new,2655,1371.0,3.0
DB0-m3_o4_o9_f0_nbo.sym.57_repeat,new,3687,1959.0,4.0
DB0-m3_o4_o19_f0_nbo.sym.8_repeat,original,3642,,
DB0-m29_o82_o52_f0_pts.sym.22_repeat,new,228,121.0,1.0
DB0-m2_o13_o20_f0_pcu.sym.48_repeat,original,995,,
DB0-m3_o153_o23_f0_fsc.sym.4_repeat,new,2630,1353.0,3.0
DB0-m3_o19_o21_f0_pcu.sym.22_repeat,original,2961,,
DB5-hypotheticalMOF_5060064_1_1_2_12_11_10_repeat,original,5688,,
DB5-hypotheticalMOF_32523_0_0_2_11_1_3_repeat,original,5502,,
DB0-m3_o25_o99_f0_fsc.sym.3_repeat,new,3304,1727.0,4.0
DB0-m3_o6_o24_f0_pcu.sym.76_repeat,original,3835,,
DB0-m2_o1_o3_f0_nbo.sym.4_repeat,new,1269,665.0,2.0
DB0-m3_o1530_o155_f0_fsc.sym.53_repeat,original,2599,,
DB5-hypotheticalMOF_10022_1_0_0_13_13_5_repeat,original,5400,,
DB0-m2_o20_o59_dme_repeat,original,1303,,
DB0-m3_o83_o23_f0_fsc.sym.25_repeat,new,3941,2111.0,5.0
DB5-hypotheticalMOF_5050387_3_1_1_23_15_0_repeat,original,5672,,
DB0-m3_o20_o24_f0_nbo.sym.21_repeat,original,3081,,
DB0-m2_o24_o26_f0_pcu.sym.106_repeat,original,1394,,
DB12-WUSSEK_clean_repeat,new,5215,2541.0,6.0
DB0-m3_o1520_o6_f0_fsc.sym.40_repeat,original,2577,,
DB0-m3_o17_o21_f0_pcu.sym.103_repeat,original,2877,,
DB0-m2_o15_o25_f0_pcu.sym.48_repeat,new,1098,578.0,2.0
DB0-m3_o88_o19_f0_fsc.sym.1_repeat,new,3949,2116.0,5.0
DB0-m29_o99_o500_f0_pts.sym.69_repeat,original,801,,
DB6-cuf_10892_repeat,original,5825,,
DB1-Cu2N8-ADC_B-BDC_B_No760_repeat,new,4380,2344.0,5.0
DB1-Cu2O8-ADC_A-irmof6_A_No645_repeat,original,4479,,
DB1-MIL47V-ADC_B-irmof20_B_No193_repeat,original,4830,,
DB0-m29_o89_o90_f0_pts.sym.62_repeat,original,474,,
DB0-m9_o12_o21_f0_sra.sym.9_repeat,original,4164,,
DB0-m3_o11_o29_f0_pcu.sym.20_repeat,original,2150,,
DB1-Cu2O8N2-AZO_A-irmof20_A_No321_repeat,original,4672,,
DB0-m29_o84_o1500_f0_pts.sym.124_repeat,original,298,,
DB0-m29_o84_o150_f0_pts.sym.6_repeat,new,304,164.0,1.0
DB0-m3_o3_o13_f0_pcu.sym.88_repeat,new,3443,1811.0,4.0
DB1-Zn2O8N2-ADC_A-irmof7_A_No346_repeat,new,5014,2486.0,5.0
DB0-m3_o8_o24_f0_pcu.sym.56_repeat,original,3990,,
DB0-m2_o23_o25_f0_nbo.sym.10_repeat,new,1361,716.0,2.0
DB12-VURYOX_clean_repeat,original,5209,,
DB0-m3_o147_o156_f0_fsc.sym.12_repeat,new,2405,1211.0,3.0
DB0-m3_o20_o22_f0_nbo.sym.84_repeat,new,3077,1618.0,4.0
DB0-m3_o3_o7_f0_pcu.sym.35_repeat,new,3483,1832.0,4.0
DB0-m29_o83_o1470_f0_pts.sym.21_repeat,original,241,,
DB1-Zn2O8-ADC_A-irmof6_A_No568_repeat,original,4872,,
DB1-Zn2O8-AZO_A-BDC_A_No463_repeat,original,4883,,
DB0-m2_o7_o14_f0_nbo.sym.120_repeat,new,1771,946.0,2.0
DB0-m3_o105_o18_f0_fsc.sym.9_repeat,original,1946,,
