wandb: Appending key for api.wandb.ai to your netrc file: /home/mmm9886/.netrc
wandb: Currently logged in as: mashrafimonon (mashrafimonon-new-york-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.21.0
wandb: Run data is saved locally in /scratch/mmm9886/Chignolin_Trajectory/SOAP_research/Attention_Aggregation/wandb/run-20250709_153236-qlekbdr7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run curious-dream-21
wandb: ⭐️ View project at https://wandb.ai/mashrafimonon-new-york-university/mof-settransformer
wandb: 🚀 View run at https://wandb.ai/mashrafimonon-new-york-university/mof-settransformer/runs/qlekbdr7
=== MOF SetTransformer Training Pipeline ===

Loading targets from: ../id_labels.csv
CSV columns: ['id', 'label']
CSV shape: (3089, 2)
First few rows:
                                               id      label
0  DB5-hypotheticalMOF_17652_0_0_1_21_9_7_repeat   13.791591
1             DB0-m2_o8_o23_f0_pcu.sym.80_repeat    3.786996
2         DB0-m29_o90_o1500_f0_pts.sym.31_repeat    9.382537
3             DB0-m3_o48_o25_f0_fsc.sym.3_repeat   11.650365
4             DB0-m2_o1_o9_f0_nbo.sym.104_repeat    1.412915
Using 'id' column for filenames and 'label' column for targets
Loaded 3089 target values
Target range: 0.006 to 37.706
Example filename mappings:
  'DB5-hypotheticalMOF_17652_0_0_1_21_9_7_repeat.cif' -> 13.79159108
  'DB0-m2_o8_o23_f0_pcu.sym.80_repeat.cif' -> 3.786995708
  'DB0-m29_o90_o1500_f0_pts.sym.31_repeat.cif' -> 9.382537337
Total CIF files found: 3089
CIF files with targets: 3089
Data split:
  Train files: 2471 (80.0%)
  Test files: 618 (20.0%)
✓ Verified no data leakage between splits
Determining all unique SOAP columns across ENTIRE dataset...
Processing ALL 3089 files to find unique columns...
Processed 0/3089 files, found 0 unique columns so far...
Processed 100/3089 files, found 188 unique columns so far...
Processed 200/3089 files, found 236 unique columns so far...
Processed 300/3089 files, found 282 unique columns so far...
Processed 400/3089 files, found 298 unique columns so far...
Processed 500/3089 files, found 300 unique columns so far...
Processed 600/3089 files, found 312 unique columns so far...
Processed 700/3089 files, found 318 unique columns so far...
Processed 800/3089 files, found 332 unique columns so far...
Processed 900/3089 files, found 332 unique columns so far...
Processed 1000/3089 files, found 352 unique columns so far...
Processed 1100/3089 files, found 354 unique columns so far...
Processed 1200/3089 files, found 372 unique columns so far...
Processed 1300/3089 files, found 386 unique columns so far...
Processed 1400/3089 files, found 394 unique columns so far...
Processed 1500/3089 files, found 420 unique columns so far...
Processed 1600/3089 files, found 424 unique columns so far...
Processed 1700/3089 files, found 424 unique columns so far...
Processed 1800/3089 files, found 450 unique columns so far...
Processed 1900/3089 files, found 450 unique columns so far...
Processed 2000/3089 files, found 450 unique columns so far...
Processed 2100/3089 files, found 452 unique columns so far...
Processed 2200/3089 files, found 456 unique columns so far...
Processed 2300/3089 files, found 458 unique columns so far...
Processed 2400/3089 files, found 464 unique columns so far...
Processed 2500/3089 files, found 466 unique columns so far...
Processed 2600/3089 files, found 466 unique columns so far...
Processed 2700/3089 files, found 470 unique columns so far...
Processed 2800/3089 files, found 472 unique columns so far...
Processed 2900/3089 files, found 482 unique columns so far...
Processed 3000/3089 files, found 484 unique columns so far...
Found 484 unique SOAP columns across ALL files
Initialized SetTransformerAggregation with:
  SOAP dimension: 484
  Unique columns: 484
  channels: 484
  num_seed_points: 1
  num_encoder_blocks: 1
  num_decoder_blocks: 1
  heads: 4
  concat: True
  layer_norm: True
  dropout: 0.3
Initialized prediction head with input dim: 484
Starting end-to-end training for 500 epochs...
Train files: 2471, Test files: 618
Using batch size: 100
Epoch 1/500: Train Loss: 193.624603, Test Loss: 246.286804, Train R²: -2.5488, Test R²: -3.1411, LR: 1.00e-02
Epoch 2/500: Train Loss: 178.945160, Test Loss: 232.542053, Train R²: -2.2797, Test R²: -2.9100, LR: 1.00e-02
Epoch 3/500: Train Loss: 167.878403, Test Loss: 220.987030, Train R²: -2.0769, Test R²: -2.7157, LR: 1.00e-02
Epoch 4/500: Train Loss: 158.359589, Test Loss: 209.623718, Train R²: -1.9024, Test R²: -2.5246, LR: 1.00e-02
Epoch 5/500: Train Loss: 149.498840, Test Loss: 197.010529, Train R²: -1.7400, Test R²: -2.3125, LR: 1.00e-02
Epoch 6/500: Train Loss: 139.474426, Test Loss: 184.137543, Train R²: -1.5563, Test R²: -2.0961, LR: 1.00e-02
Epoch 7/500: Train Loss: 129.491150, Test Loss: 171.936264, Train R²: -1.3733, Test R²: -1.8909, LR: 1.00e-02
Epoch 8/500: Train Loss: 120.017784, Test Loss: 158.557190, Train R²: -1.1997, Test R²: -1.6660, LR: 1.00e-02
Epoch 9/500: Train Loss: 109.892815, Test Loss: 146.229935, Train R²: -1.0141, Test R²: -1.4587, LR: 1.00e-02
Epoch 10/500: Train Loss: 100.771690, Test Loss: 134.049698, Train R²: -0.8470, Test R²: -1.2539, LR: 1.00e-02
Epoch 11/500: Train Loss: 91.998688, Test Loss: 122.228897, Train R²: -0.6862, Test R²: -1.0552, LR: 1.00e-02
Epoch 12/500: Train Loss: 83.773834, Test Loss: 111.021111, Train R²: -0.5354, Test R²: -0.8667, LR: 1.00e-02
Epoch 13/500: Train Loss: 76.298141, Test Loss: 100.567627, Train R²: -0.3984, Test R²: -0.6909, LR: 1.00e-02
Epoch 14/500: Train Loss: 69.737984, Test Loss: 91.016884, Train R²: -0.2782, Test R²: -0.5304, LR: 1.00e-02
Epoch 15/500: Train Loss: 64.165031, Test Loss: 82.503494, Train R²: -0.1760, Test R²: -0.3872, LR: 1.00e-02
Epoch 16/500: Train Loss: 59.801601, Test Loss: 75.150490, Train R²: -0.0961, Test R²: -0.2636, LR: 1.00e-02
Epoch 17/500: Train Loss: 56.639893, Test Loss: 69.074951, Train R²: -0.0381, Test R²: -0.1614, LR: 1.00e-02
Epoch 18/500: Train Loss: 54.898994, Test Loss: 64.389496, Train R²: -0.0062, Test R²: -0.0826, LR: 1.00e-02
Epoch 19/500: Train Loss: 54.651058, Test Loss: 61.903126, Train R²: -0.0017, Test R²: -0.0408, LR: 1.00e-02
Epoch 20/500: Train Loss: 55.479549, Test Loss: 60.675060, Train R²: -0.0168, Test R²: -0.0202, LR: 1.00e-02
Epoch 21/500: Train Loss: 56.578335, Test Loss: 60.121006, Train R²: -0.0370, Test R²: -0.0109, LR: 1.00e-02
Epoch 22/500: Train Loss: 57.495586, Test Loss: 59.911777, Train R²: -0.0538, Test R²: -0.0074, LR: 1.00e-02
Epoch 23/500: Train Loss: 58.004791, Test Loss: 59.895470, Train R²: -0.0631, Test R²: -0.0071, LR: 1.00e-02
Epoch 24/500: Train Loss: 58.050648, Test Loss: 60.154629, Train R²: -0.0640, Test R²: -0.0114, LR: 1.00e-02
Epoch 25/500: Train Loss: 57.422333, Test Loss: 60.812645, Train R²: -0.0524, Test R²: -0.0225, LR: 1.00e-02
Epoch 26/500: Train Loss: 56.419193, Test Loss: 62.719067, Train R²: -0.0341, Test R²: -0.0546, LR: 1.00e-02
Epoch 27/500: Train Loss: 55.073063, Test Loss: 68.787712, Train R²: -0.0094, Test R²: -0.1566, LR: 1.00e-02
Epoch 28/500: Train Loss: 54.818100, Test Loss: 68.104698, Train R²: -0.0047, Test R²: -0.1451, LR: 1.00e-02
Epoch 29/500: Train Loss: 54.758072, Test Loss: 68.110504, Train R²: -0.0036, Test R²: -0.1452, LR: 1.00e-02
