wandb: Appending key for api.wandb.ai to your netrc file: /home/mmm9886/.netrc
wandb: Currently logged in as: mashrafimonon (mashrafimonon-new-york-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.21.0
wandb: Run data is saved locally in /scratch/mmm9886/Chignolin_Trajectory/SOAP_research/Attention_Aggregation/wandb/run-20250709_153051-r7ster5b
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run giddy-brook-20
wandb: ⭐️ View project at https://wandb.ai/mashrafimonon-new-york-university/mof-settransformer
wandb: 🚀 View run at https://wandb.ai/mashrafimonon-new-york-university/mof-settransformer/runs/r7ster5b
=== MOF SetTransformer Training Pipeline ===

Loading targets from: ../id_labels.csv
CSV columns: ['id', 'label']
CSV shape: (3089, 2)
First few rows:
                                               id      label
0  DB5-hypotheticalMOF_17652_0_0_1_21_9_7_repeat   13.791591
1             DB0-m2_o8_o23_f0_pcu.sym.80_repeat    3.786996
2         DB0-m29_o90_o1500_f0_pts.sym.31_repeat    9.382537
3             DB0-m3_o48_o25_f0_fsc.sym.3_repeat   11.650365
4             DB0-m2_o1_o9_f0_nbo.sym.104_repeat    1.412915
Using 'id' column for filenames and 'label' column for targets
Loaded 3089 target values
Target range: 0.006 to 37.706
Example filename mappings:
  'DB5-hypotheticalMOF_17652_0_0_1_21_9_7_repeat.cif' -> 13.79159108
  'DB0-m2_o8_o23_f0_pcu.sym.80_repeat.cif' -> 3.786995708
  'DB0-m29_o90_o1500_f0_pts.sym.31_repeat.cif' -> 9.382537337
Total CIF files found: 3089
CIF files with targets: 3089
Data split:
  Train files: 2471 (80.0%)
  Test files: 618 (20.0%)
✓ Verified no data leakage between splits
Determining all unique SOAP columns across ENTIRE dataset...
Processing ALL 3089 files to find unique columns...
Processed 0/3089 files, found 0 unique columns so far...
Processed 100/3089 files, found 188 unique columns so far...
Processed 200/3089 files, found 236 unique columns so far...
Processed 300/3089 files, found 282 unique columns so far...
Processed 400/3089 files, found 298 unique columns so far...
Processed 500/3089 files, found 300 unique columns so far...
Processed 600/3089 files, found 312 unique columns so far...
Processed 700/3089 files, found 318 unique columns so far...
Processed 800/3089 files, found 332 unique columns so far...
Processed 900/3089 files, found 332 unique columns so far...
Processed 1000/3089 files, found 352 unique columns so far...
Processed 1100/3089 files, found 354 unique columns so far...
Processed 1200/3089 files, found 372 unique columns so far...
Processed 1300/3089 files, found 386 unique columns so far...
Processed 1400/3089 files, found 394 unique columns so far...
Processed 1500/3089 files, found 420 unique columns so far...
Processed 1600/3089 files, found 424 unique columns so far...
Processed 1700/3089 files, found 424 unique columns so far...
Processed 1800/3089 files, found 450 unique columns so far...
Processed 1900/3089 files, found 450 unique columns so far...
Processed 2000/3089 files, found 450 unique columns so far...
Processed 2100/3089 files, found 452 unique columns so far...
Processed 2200/3089 files, found 456 unique columns so far...
Processed 2300/3089 files, found 458 unique columns so far...
Processed 2400/3089 files, found 464 unique columns so far...
Processed 2500/3089 files, found 466 unique columns so far...
Processed 2600/3089 files, found 466 unique columns so far...
Processed 2700/3089 files, found 470 unique columns so far...
Processed 2800/3089 files, found 472 unique columns so far...
Processed 2900/3089 files, found 482 unique columns so far...
Processed 3000/3089 files, found 484 unique columns so far...
Found 484 unique SOAP columns across ALL files
Initialized SetTransformerAggregation with:
  SOAP dimension: 484
  Unique columns: 484
  channels: 484
  num_seed_points: 1
  num_encoder_blocks: 1
  num_decoder_blocks: 1
  heads: 4
  concat: True
  layer_norm: True
  dropout: 0.3
Initialized prediction head with input dim: 484
Starting end-to-end training for 500 epochs...
Train files: 2471, Test files: 618
Using batch size: 100
Epoch 1/500: Train Loss: 193.624603, Test Loss: 59.343399, Train R²: -2.5488, Test R²: 0.0022, LR: 5.00e-01
Epoch 2/500: Train Loss: 62.055836, Test Loss: 209.267700, Train R²: -0.1374, Test R²: -2.5186, LR: 5.00e-01
Epoch 3/500: Train Loss: 146.326019, Test Loss: 233.830139, Train R²: -1.6819, Test R²: -2.9316, LR: 5.00e-01
Epoch 4/500: Train Loss: 166.680191, Test Loss: 70.734329, Train R²: -2.0549, Test R²: -0.1893, LR: 5.00e-01
Epoch 5/500: Train Loss: 89.345528, Test Loss: 63.503944, Train R²: -0.6375, Test R²: -0.0678, LR: 5.00e-01
Epoch 6/500: Train Loss: 54.831844, Test Loss: 391.236786, Train R²: -0.0050, Test R²: -5.5783, LR: 5.00e-01
Epoch 7/500: Train Loss: 303.839355, Test Loss: 381.770142, Train R²: -4.5688, Test R²: -5.4191, LR: 5.00e-01
Epoch 8/500: Train Loss: 292.980194, Test Loss: 121.436699, Train R²: -4.3698, Test R²: -1.0418, LR: 5.00e-01
Epoch 9/500: Train Loss: 83.189034, Test Loss: 143.802521, Train R²: -0.5247, Test R²: -1.4179, LR: 5.00e-01
Epoch 10/500: Train Loss: 193.054749, Test Loss: 220.866898, Train R²: -2.5383, Test R²: -2.7137, LR: 5.00e-01
Epoch 11/500: Train Loss: 286.297882, Test Loss: 91.737518, Train R²: -4.2473, Test R²: -0.5425, LR: 5.00e-01
Epoch 12/500: Train Loss: 121.933044, Test Loss: 270.931335, Train R²: -1.2348, Test R²: -3.5555, LR: 5.00e-01
Epoch 13/500: Train Loss: 202.931076, Test Loss: 62.147781, Train R²: -2.7193, Test R²: -0.0450, LR: 5.00e-01
Epoch 14/500: Train Loss: 55.798222, Test Loss: 244.452927, Train R²: -0.0227, Test R²: -3.1102, LR: 5.00e-01
Epoch 15/500: Train Loss: 178.921600, Test Loss: 112.998001, Train R²: -2.2793, Test R²: -0.9000, LR: 5.00e-01
Epoch 16/500: Train Loss: 77.979691, Test Loss: 60.002636, Train R²: -0.4292, Test R²: -0.0089, LR: 5.00e-01
Epoch 17/500: Train Loss: 58.022343, Test Loss: 172.612534, Train R²: -0.0634, Test R²: -1.9023, LR: 5.00e-01
Epoch 18/500: Train Loss: 121.014030, Test Loss: 59.585800, Train R²: -1.2180, Test R²: -0.0019, LR: 5.00e-01
Epoch 19/500: Train Loss: 59.090755, Test Loss: 61.369938, Train R²: -0.0830, Test R²: -0.0319, LR: 5.00e-01
Epoch 20/500: Train Loss: 56.331993, Test Loss: 192.307739, Train R²: -0.0325, Test R²: -2.2335, LR: 5.00e-01
Epoch 21/500: Train Loss: 135.726959, Test Loss: 100.025246, Train R²: -1.4876, Test R²: -0.6818, LR: 5.00e-01
Epoch 22/500: Train Loss: 69.086716, Test Loss: 87.089622, Train R²: -0.2662, Test R²: -0.4643, LR: 5.00e-01
Epoch 23/500: Train Loss: 114.947884, Test Loss: 64.001518, Train R²: -1.1068, Test R²: -0.0761, LR: 5.00e-01
Epoch 24/500: Train Loss: 76.226799, Test Loss: 148.848755, Train R²: -0.3971, Test R²: -1.5027, LR: 5.00e-01
Epoch 25/500: Train Loss: 103.073128, Test Loss: 459.630066, Train R²: -0.8891, Test R²: -6.7282, LR: 5.00e-01
Epoch 26/500: Train Loss: 360.500305, Test Loss: 75.310730, Train R²: -5.6073, Test R²: -0.2663, LR: 5.00e-01
Epoch 27/500: Train Loss: 55.634121, Test Loss: 221.873032, Train R²: -0.0197, Test R²: -2.7306, LR: 5.00e-01
Epoch 28/500: Train Loss: 286.305084, Test Loss: 132.390015, Train R²: -4.2474, Test R²: -1.2260, LR: 5.00e-01
Epoch 29/500: Train Loss: 176.127777, Test Loss: 59.786720, Train R²: -2.2281, Test R²: -0.0053, LR: 5.00e-01
